"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"LOC410140",0,3.30883024793463,0.983,0.249,0,"Neuron","LOC410140"
"LOC410353",0,3.2844808576959,0.977,0.104,0,"Neuron","LOC410353"
"Amih",0,3.03239654648895,0.981,0.332,0,"Neuron","Amih"
"LOC410498",0,2.92784331545066,0.978,0.097,0,"Neuron","LOC410498"
"LOC726188",0,2.91592599472997,0.978,0.148,0,"Neuron","LOC726188"
"LOC409007",0,2.87188386779541,0.999,0.87,0,"Neuron","LOC409007"
"Camkii",0,2.81151321693098,0.978,0.322,0,"Neuron","Camkii"
"Para",0,2.77386463523202,0.99,0.393,0,"Neuron","Para"
"Nrx-1",0,2.75828375122942,0.96,0.143,0,"Neuron","Nrx-1"
"LOC408914",0,2.70913654546385,0.844,0.109,0,"Neuron","LOC408914"
"brp",0,2.65628097611505,0.948,0.183,0,"Neuron","brp"
"LOC552844",0,2.62205868492796,0.969,0.149,0,"Neuron","LOC552844"
"LOC100577254",0,2.56934238770773,0.984,0.441,0,"Neuron","LOC100577254"
"LOC552619",0,2.49776199150916,0.966,0.089,0,"Neuron","LOC552619"
"LOC411113",0,2.48951646416433,0.99,0.51,0,"Neuron","LOC411113"
"LOC410791",0,2.48404935620755,0.976,0.298,0,"Neuron","LOC410791"
"LOC410320",0,2.47883440131398,0.971,0.335,0,"Neuron","LOC410320"
"LOC411693",0,2.47531545141204,0.928,0.174,0,"Neuron","LOC411693"
"LOC410317",0,2.46165850128903,0.93,0.083,0,"Neuron","LOC410317"
"LOC408769",0,2.45966550521223,0.93,0.098,0,"Neuron","LOC408769"
"LOC413568",0,2.44514294633834,0.953,0.111,0,"Neuron","LOC413568"
"LOC725803",0,2.4436132654745,0.881,0.113,0,"Neuron","LOC725803"
"Cac",0,2.42906930908177,0.956,0.11,0,"Neuron","Cac"
"LOC724433",0,2.40300846957319,0.947,0.092,0,"Neuron","LOC724433"
"LOC100859932",0,2.37260865526955,0.921,0.16,0,"Neuron","LOC100859932"
"LOC408343",0,2.34433026085188,0.972,0.41,0,"Neuron","LOC408343"
"LOC413994",0,2.34129400304423,0.977,0.413,0,"Neuron","LOC413994"
"LOC412099",0,2.31387085163035,0.985,0.566,0,"Neuron","LOC412099"
"LOC100577517",0,2.28735065687989,0.961,0.342,0,"Neuron","LOC100577517"
"LOC725970",0,2.26675509566564,0.974,0.233,0,"Neuron","LOC725970"
"pHCl",0,2.23878552345265,0.955,0.166,0,"Neuron","pHCl"
"LOC413005",0,2.17529525687335,0.992,0.612,0,"Neuron","LOC413005"
"LOC408770",0,2.12955606368909,0.974,0.334,0,"Neuron","LOC408770"
"LOC410882",0,2.1114214158966,0.824,0.082,0,"Neuron","LOC410882"
"LOC406124",0,2.11023023848087,0.66,0.061,0,"Neuron","LOC406124"
"LOC413076",0,2.1051706288128,0.884,0.098,0,"Neuron","LOC413076"
"LOC724655",0,2.1051043476846,0.817,0.091,0,"Neuron","LOC724655"
"LOC551385",0,2.09746243214295,0.867,0.096,0,"Neuron","LOC551385"
"LOC408465",0,2.07559975197337,0.939,0.099,0,"Neuron","LOC408465"
"AChE-2",0,2.058842475761,0.94,0.162,0,"Neuron","AChE-2"
"LOC551623",0,2.05186540609144,0.905,0.106,0,"Neuron","LOC551623"
"LOC412934",0,2.0435275174771,0.889,0.109,0,"Neuron","LOC412934"
"LOC408963",0,2.04078330819579,0.894,0.098,0,"Neuron","LOC408963"
"LOC550970",0,2.00385344199998,0.935,0.355,0,"Neuron","LOC550970"
"LOC100578112",0,1.98347770891825,0.846,0.171,0,"Neuron","LOC100578112"
"LOC410336",0,1.96405323892969,0.896,0.09,0,"Neuron","LOC410336"
"LOC726765",0,1.93381602753632,0.888,0.079,0,"Neuron","LOC726765"
"LOC410852",0,1.92936306269974,0.933,0.187,0,"Neuron","LOC410852"
"LOC409774",0,1.92588443608907,0.972,0.484,0,"Neuron","LOC409774"
"LOC408915",0,1.92389849981231,0.999,0.94,0,"Neuron","LOC408915"
"LOC413382",0,1.91886262655082,0.907,0.3,0,"Neuron","LOC413382"
"LOC100577283",0,1.90057676030652,0.859,0.13,0,"Neuron","LOC100577283"
"LOC410689",0,1.89739479648679,0.891,0.092,0,"Neuron","LOC410689"
"LOC408935",0,1.88895854261862,0.864,0.112,0,"Neuron","LOC408935"
"LOC409818",0,1.88075092755167,0.947,0.209,0,"Neuron","LOC409818"
"LOC408722",0,1.87375492780419,0.874,0.286,0,"Neuron","LOC408722"
"Or2",0,1.87234526849631,0.842,0.088,0,"Neuron","Or2"
"LOC100576965",0,1.86192793495849,0.757,0.139,0,"Neuron","LOC100576965"
"LOC552243",0,1.86163520573758,0.954,0.234,0,"Neuron","LOC552243"
"LOC408576",0,1.83311429613117,0.959,0.342,0,"Neuron","LOC408576"
"LOC724468",0,1.82955989148163,0.751,0.103,0,"Neuron","LOC724468"
"LOC413159",0,1.82216185791271,0.837,0.146,0,"Neuron","LOC413159"
"LOC414029",0,1.82200460495271,0.942,0.435,0,"Neuron","LOC414029"
"LOC410696",0,1.79668093304148,0.871,0.164,0,"Neuron","LOC410696"
"LOC413372",0,1.77983575495342,0.981,0.69,0,"Neuron","LOC413372"
"LOC413328",0,1.77854506294978,0.878,0.411,0,"Neuron","LOC413328"
"LOC409692",0,1.75708562355869,0.688,0.063,0,"Neuron","LOC409692"
"LOC411213",0,1.741022922843,0.854,0.191,0,"Neuron","LOC411213"
"LOC410373",0,1.72743195494658,0.871,0.151,0,"Neuron","LOC410373"
"LOC412777",0,1.72729467584916,0.824,0.088,0,"Neuron","LOC412777"
"LOC551261",0,1.71185152399423,0.983,0.701,0,"Neuron","LOC551261"
"LOC725131",0,1.68800483458048,0.857,0.148,0,"Neuron","LOC725131"
